keyword,period,ratio
PHA,2023-08-28,76.90647
PHA,2023-09-04,82.80575
PHA,2023-09-11,78.77697
PHA,2023-09-18,73.38129
PHA,2023-09-25,54.82014
PHA,2023-10-02,62.15827
PHA,2023-10-09,67.62589
PHA,2023-10-16,70.79136
PHA,2023-10-23,67.1223
PHA,2023-10-30,62.87769
PHA,2023-11-06,66.04316
PHA,2023-11-13,66.54676
PHA,2023-11-20,62.51798
PHA,2023-11-27,76.69064
PHA,2023-12-04,66.90647
PHA,2023-12-11,60.64748
PHA,2023-12-18,61.00719
PHA,2023-12-25,48.70503
PHA,2024-01-01,61.72661
PHA,2024-01-08,62.51798
PHA,2024-01-15,61.51079
PHA,2024-01-22,70.8633
PHA,2024-01-29,72.08633
PHA,2024-02-05,58.70503
PHA,2024-02-12,71.43884
PHA,2024-02-19,73.02158
PHA,2024-02-26,70.0
PHA,2024-03-04,73.81294
PHA,2024-03-11,69.20863
PHA,2024-03-18,66.97841
PHA,2024-03-25,71.51079
PHA,2024-04-01,67.48201
PHA,2024-04-08,75.53956
PHA,2024-04-15,87.69784
PHA,2024-04-22,79.28057
PHA,2024-04-29,66.69064
PHA,2024-05-06,77.76978
PHA,2024-05-13,82.30215
PHA,2024-05-20,83.38129
PHA,2024-05-27,76.76258
PHA,2024-06-03,68.70503
PHA,2024-06-10,79.35251
PHA,2024-06-17,81.65467
PHA,2024-06-24,70.35971
PHA,2024-07-01,70.71942
PHA,2024-07-08,78.20143
PHA,2024-07-15,86.90647
PHA,2024-07-22,62.3741
PHA,2024-07-29,46.97841
PHA,2024-08-05,53.66906
PHA,2024-08-12,54.10071
PHA,2024-08-19,64.17266
PHA,2024-08-26,66.83453
PHA,2024-09-02,58.63309
PHA,2024-09-09,52.23021
PHA,2024-09-16,41.00719
PHA,2024-09-23,61.22302
PHA,2024-09-30,48.77697
PHA,2024-10-07,62.08633
PHA,2024-10-14,60.57553
PHA,2024-10-21,59.92805
PHA,2024-10-28,60.50359
PHA,2024-11-04,60.93525
PHA,2024-11-11,59.35251
PHA,2024-11-18,63.09352
