category,period,ratio
스킨케어,2026-06-22,19.37369
스킨케어,2026-06-29,21.46645
선케어,2023-07-03,97.99746
선케어,2023-07-10,75.38762
선케어,2023-07-17,73.64744
선케어,2023-07-24,79.47324
선케어,2023-07-31,96.90169
선케어,2023-08-07,77.29516
선케어,2023-08-14,72.03756
선케어,2023-08-21,65.33982
선케어,2023-08-28,56.28109
선케어,2023-09-04,62.74857
선케어,2023-09-11,53.18856
선케어,2023-09-18,48.53476
선케어,2023-09-25,36.17988
선케어,2023-10-02,51.86959
선케어,2023-10-09,52.49297
선케어,2023-10-16,48.66168
선케어,2023-10-23,46.85267
선케어,2023-10-30,51.68474
선케어,2023-11-06,49.92386
선케어,2023-11-13,48.40302
선케어,2023-11-20,47.62592
선케어,2023-11-27,48.688
선케어,2023-12-04,43.84004
선케어,2023-12-11,36.41046
선케어,2023-12-18,32.17257
선케어,2023-12-25,34.17863
선케어,2024-01-01,42.94965
선케어,2024-01-08,39.45742
선케어,2024-01-15,37.13381
선케어,2024-01-22,36.94832
선케어,2024-01-29,40.91278
선케어,2024-02-05,31.34588
선케어,2024-02-12,48.3305
선케어,2024-02-19,45.16094
선케어,2024-02-26,48.45357
선케어,2024-03-04,55.65723
선케어,2024-03-11,58.82598
선케어,2024-03-18,65.56928
선케어,2024-03-25,61.80266
선케어,2024-04-01,73.78817
선케어,2024-04-08,85.3483
선케어,2024-04-15,86.11353
선케어,2024-04-22,82.7588
선케어,2024-04-29,88.15377
선케어,2024-05-06,85.0699
선케어,2024-05-13,100.0
선케어,2024-05-20,96.0612
선케어,2024-05-27,95.2297
선케어,2024-06-03,91.19656
선케어,2024-06-10,97.26368
선케어,2024-06-17,91.27229
선케어,2024-06-24,83.84784
선케어,2024-07-01,81.11859
선케어,2024-07-08,68.05688
선케어,2024-07-15,69.24781
선케어,2024-07-22,74.48456
선케어,2024-07-29,82.73473
선케어,2024-08-05,71.28468
선케어,2024-08-12,65.01088
선케어,2024-08-19,55.42873
선케어,2024-08-26,51.78599
선케어,2024-09-02,47.41829
선케어,2024-09-09,36.86295
선케어,2024-09-16,37.65
선케어,2024-09-23,40.14194
선케어,2024-09-30,38.11935
선케어,2024-10-07,37.55132
선케어,2024-10-14,35.23252
선케어,2024-10-21,32.88757
선케어,2024-10-28,33.1435
선케어,2024-11-04,34.09005
선케어,2024-11-11,31.40252
선케어,2024-11-18,29.12223
선케어,2024-11-25,27.99774
선케어,2024-12-02,29.32201
선케어,2024-12-09,27.74549
선케어,2024-12-16,26.2099
선케어,2024-12-23,25.00645
선케어,2024-12-30,27.4419
선케어,2025-01-06,30.82134
선케어,2025-01-13,31.2273
선케어,2025-01-20,26.4193
선케어,2025-01-27,27.99453
선케어,2025-02-03,33.46619
선케어,2025-02-10,35.20717
선케어,2025-02-17,36.7203
선케어,2025-02-24,41.15139
선케어,2025-03-03,43.37952
선케어,2025-03-10,46.8655
선케어,2025-03-17,49.62877
선케어,2025-03-24,53.15583
선케어,2025-03-31,60.79578
선케어,2025-04-07,67.77351
선케어,2025-04-14,67.00523
선케어,2025-04-21,66.58483
선케어,2025-04-28,62.46359
선케어,2025-05-05,60.87183
선케어,2025-05-12,59.02158
선케어,2025-05-19,58.55849
선케어,2025-05-26,60.80717
선케어,2025-06-02,63.18469
선케어,2025-06-09,59.4208
선케어,2025-06-16,49.84491
선케어,2025-06-23,45.14105
선케어,2025-06-30,58.05706
선케어,2025-07-07,63.24824
